object_id,field,field_group,value,certainty,source_id,locator
IBI-C58457DA1C26,catalogue_language_codes,language,heb,reported,SRC-5C51CF0634BF,MMS 997008712405805171
IBI-C58457DA1C26,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-5C51CF0634BF,MMS 997008712405805171
IBI-C58457DA1C26,dating,dating,400–899 CE,reported,SRC-5C51CF0634BF,MMS 997008712405805171
IBI-C58457DA1C26,dimensions,dimensions,Height 235 mm; source field ‘הקף’ 257 mm,reported,SRC-5C51CF0634BF,MMS 997008712405805171
IBI-C58FA9F0D778,catalogue_language_codes,language,heb,reported,SRC-B4E152D303C7,MMS 997008712544505171
IBI-C58FA9F0D778,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-B4E152D303C7,MMS 997008712544505171
IBI-C58FA9F0D778,dating,dating,400–899 CE,reported,SRC-B4E152D303C7,MMS 997008712544505171
IBI-C58FA9F0D778,dimensions,dimensions,Height 60 mm; source field ‘הקף’ 168 mm,reported,SRC-B4E152D303C7,MMS 997008712544505171
IBI-C5FDEE0C9BAA,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1908-1010-3
IBI-C5FDEE0C9BAA,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1908-1010-3
IBI-C5FDEE0C9BAA,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1908-1010-3
IBI-C5FDEE0C9BAA,production_place,provenance,Made in: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1908-1010-3
