object_id,field,field_group,value,certainty,source_id,locator
IBI-BC88C23D6F87,material,material,Ceramic; Ink,reported,SRC-DC3E2CFAE157,https://collections.penn.museum/collections/object/332921
IBI-BCA2A671CAFF,current_location,location,Iraq Museum,reported,SRC-AB306F0110B7,title and abstract
IBI-BCA2A671CAFF,inscription_extent,text_form,15 lines,reported,SRC-AB306F0110B7,title and abstract
IBI-BCA2A671CAFF,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-AB306F0110B7,title and abstract
IBI-BCA2A671CAFF,text_purpose,ritual,"Protection of the client, his wife, and his daughter against curses of enemies and opponents",reported,SRC-AB306F0110B7,title and abstract
IBI-BCE14F6D4053,current_location,location,Penn Museum,reported,SRC-8052C7DFFEEC,https://collections.penn.museum/collections/object/136917
IBI-BCE14F6D4053,material,material,Ceramic Ink,reported,SRC-8052C7DFFEEC,https://collections.penn.museum/collections/object/136917
IBI-BCF1D44D0968,inscription_language,language,Aramaic,reported,SRC-72D809FB4249,text 064A; section pp. 43–102
IBI-BCFC0A10CBD4,catalogue_language_codes,language,heb,reported,SRC-F8E3CCD9D82A,MMS 997008712547905171
IBI-BCFC0A10CBD4,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-F8E3CCD9D82A,MMS 997008712547905171
IBI-BCFC0A10CBD4,dating,dating,400–899 CE,reported,SRC-F8E3CCD9D82A,MMS 997008712547905171
IBI-BCFC0A10CBD4,dimensions,dimensions,Height 60 mm; source field ‘הקף’ 174 mm,reported,SRC-F8E3CCD9D82A,MMS 997008712547905171
IBI-BD32172273E5,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1893-1014-51
IBI-BD32172273E5,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1893-1014-51
IBI-BD32172273E5,findspot,provenance,Found/Acquired: Baghdad,reported,SRC-3D4B57D27A24,Related objects: 1893-1014-51
IBI-BD32172273E5,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1893-1014-51
IBI-BD32172273E5,production_place,provenance,"Made in: Iraq, South",reported,SRC-3D4B57D27A24,Related objects: 1893-1014-51
IBI-BDCAF03B3004,condition,condition,fragmentary,reported,SRC-3A8095B6D794,index entry BM074A
IBI-BDCC7E804E77,client,client,Aban son of Daday,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,condition,condition,Fair; incomplete,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1880-1112-1963
IBI-BDCC7E804E77,current_location,location,The British Museum,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
IBI-BDCC7E804E77,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1880-1112-1963
IBI-BDCC7E804E77,dating,dating,6thC–8thC,reported,SRC-C2F92EEA870B,object W_1880-1112-1963
