id,object_id,source_id,text_type,language,script,editor,locator,rights_status,content_status,content,access_citation,access_locator,access_url,access_status
TXT-55E4A055004E,IBI-0585D0CB4219,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 160, distribution table, MS 1927/2",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 160, distribution table, MS 1927/2",https://doi.org/10.11647/OBP.0305,available
TXT-58FA58A4F4FA,IBI-A3736CD7D997,SRC-943673B56FB8,translation,English,,James A. Montgomery,"text 40 translation, printed pp. 252-253; PDF pp. 258-259",public_domain,included,"In the name of Life!—that health (2) and armament be to the body and wife and male sons (3) and female daughters, and the house and abode, the mansion (4) and the barn of the cattle, the ass, bull and goat, the property of (5) Xaro bar Mehanos, from Life.

I swear and adjure you (6) by Life.

...

(12) and I have broken you in the gate of Xaro b. M., the man and his wife. [Health and protection, etc., from] the Liliths, when they appear in the house of Xaro (13) b. M., from Life. And health and armament and healing and guarding [be to] the male sons and female daughters and the house (14) and dwelling and mansion and the barn of the ass, bull and goat, the live (?) property of [Xaro b. M.], from Life. And health and armament (15) be to the body and the male sons and female daughters and the house and dwelling and mansion of (16) Merathe daughter of Hindu, from Life. And health be to the body of Xaro ... and the wife and male sons [and female daughters and the house and dwelling] and mansion and building and cattle (17) of Xaro b. M., from Life.

Charmed art thou, Lilith Buznai, and all the goddesses ... and the three hundred and sixty Tribes, (18) by the word of the granddaughter of the angel Buznai, by the adjuration (?) of Life, and by the command of ... who is (?) with the mighty Buznai, (19) by the seal of the angel Darwa (?), whose word none transgresses. Charmed are a[ll the gods ... and] temple-spirits and shrine-spirits (20) and goddesses from the body and the wife and sons and daughters and the house and dwelling and mansion and barn of Xaro b. (21) M. Charmed, shut up and confined and hobbled is the Ish[tar] ..., and the three hundred and sixty Tribes, (22) which I have dismissed from him ... one after [the other. Charmed] are all Amulet-spirits which lodge in their houses (23) and devastate them. Charmed [and hobbled] and suppressed and covered is the Satan (?) and the Plague ... [from] the body (24) of the man and his wife ... and the male sons and the female daughters, (25) the house and dwelling and mansion and the barn for cattle, of Xaro b. M., from Life. (26) And Life is victorious!","Montgomery, James A. Aramaic Incantation Texts from Nippur. University Museum, Babylonian Section, Publications 3. Philadelphia, 1913.","text 40 translation, printed pp. 252-253; PDF pp. 258-259",https://archive.org/details/aramaicincantati00mont,available
TXT-5AD1D8AE244B,IBI-F49584A8B7FB,SRC-539BB677443B,translation,English,,Summary of W. S. McCullough,DA 5 translation,copyrighted,withheld_consult_the_edition,,"McCullough, W. S. Jewish and Mandaean Incantation Bowls in the Royal Ontario Museum. Toronto: University of Toronto Press, 1967, DA 5.",DA 5 translation,https://www.markfoster.net/rn/texts/two_mandaean_incantation_bowls.pdf,available
TXT-5CAB2E69B94E,IBI-7884182D0362,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 158, distribution table, JBA 90",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 158, distribution table, JBA 90",https://doi.org/10.11647/OBP.0305,available
TXT-6547604AFE7C,IBI-214D07893EE2,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 161, distribution table, JNF 124",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 161, distribution table, JNF 124",https://doi.org/10.11647/OBP.0305,available
TXT-658B013C80B0,IBI-5CB5A9A5E46E,SRC-943673B56FB8,translation,English,,James A. Montgomery,"text 29 translation, printed pp. 218-219; PDF pp. 224-225",public_domain,included,"[This bowl is appointed in the name of?] (2) Yhwh Sebaoth for the salvation [and sealing? of Metanis] (3) bath Resan ... (4) ... and sealed (5) for Metanis b. R.,—an amulet in the name of Yhwh Sebaoth for Metanis b. R. And bound (6) from her, from her children, from her house, from all her dwelling, are the evil Plagues and evil Demons and the evil and the decent Lilith and the Necklace-spirits and ... Menstruation and Tormentors and the Hags of the wild and Impurities and Epilepsy (?).

We adjure you (8) whatsoever evil thing lodges in the house and dwelling of Haliphai bar Sissin ... and Darsi the foreigner and Astroba ... (9) ... Leprosy, Plague, Stroke, the kindly and ... Lili, and the Demons, ghostly Shades, and all Goblins and evil Injurers whose names I have mentioned and whose names [I have not] (10) mentioned: I exorcise and adjure and make fast and bind and make fast (sic) upon you, in the name of MW, of ḲṢ, ŠṢ, MṢ, BṢ, KṢ, KṢ, BṢ, ... (11) I-am-that-I-am, the great God, Mesoah his name. He is God, the Lord of all Salvation, whose throne is established between the ethers and his eternity (world?) is established for ... (12) in Yhwh and for his praise and the faith in him and his service. He is the great, the mighty God.","Montgomery, James A. Aramaic Incantation Texts from Nippur. University Museum, Babylonian Section, Publications 3. Philadelphia, 1913.","text 29 translation, printed pp. 218-219; PDF pp. 224-225",https://archive.org/details/aramaicincantati00mont,available
TXT-6594AB7C98BC,IBI-90E3D2265AC0,SRC-CCB4BB4FAD99,summary,English,,The Schøyen Collection / credited specialist,Text field in online record,copyrighted,withheld_consult_the_edition,,"The Schøyen Collection, MS 2056/12, online collection record.",Text field in online record,,available
TXT-674CC03B2E76,IBI-AB9C12C9719A,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 158, distribution table, HS 3003",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 158, distribution table, HS 3003",https://doi.org/10.11647/OBP.0305,available
TXT-686135FE096F,IBI-E501E80DA715,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 158, distribution table, JBA 104",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 158, distribution table, JBA 104",https://doi.org/10.11647/OBP.0305,available
TXT-68C179444D91,IBI-C06FF61EAB69,SRC-73C44B143A9D,summary,English,,Daniel James Waller,"p. 160, distribution table, MS 2053/216",open_license,withheld_consult_the_edition,,"Waller, Daniel James, with contributions by Dorota Molin. The Bible in the Bowls: A Catalogue of Biblical Quotations in Published Jewish Babylonian Aramaic Magic Bowls. Cambridge: Open Book Publishers, 2022. DOI: 10.11647/OBP.0305.","p. 160, distribution table, MS 2053/216",https://doi.org/10.11647/OBP.0305,available
