source_id,title,authors,issued_year,container_title,citation,doi,source_type,access_status,scope,scope_label,scope_basis,objects_published,document_held
SRC-C40FB2ED8EE8,“Your mysteries are concealed.” A prophylactic Jewish Aramaic magic bowl with some notes on literary influences,Dan Levene,2010,ePrints Soton (University of Southampton),“Your mysteries are concealed.” A prophylactic Jewish Aramaic magic bowl with some notes on literary influences (2010). Repository location indexed by OpenAlex W2589140792.,,chapter,available,,Not yet classified,unclassified,0,0
SRC-8008307DAAEE,Religion and the Aramaic Incantation Bowls,Michael G. Morony,2007,Religion Compass,"Morony, Michael G. 'Religion and the Aramaic Incantation Bowls.' Religion Compass 1 (2007). DOI: 10.1111/j.1749-8171.2007.00029.x.",10.1111/j.1749-8171.2007.00029.x,article,unknown,,Not yet classified,unclassified,0,0
SRC-1A922C3F041F,The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered,Christa Müller-Kessler,2007,Le Muséon,"Müller-Kessler, ‘The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered,’ Le Muséon 120 (2007).",10.2143/MUS.120.1.2020266,article,partial,,Not yet classified,unclassified,0,0
SRC-ED9C9D8C07C1,The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered,Morgenstern [and others; see citation],2007,Le Muséon,———. “The Jewish Babylonian Aramaic Magic Bowl BM 91767 Reconsidered.” Le Muséon 120 (2007): 5–27.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-A08F75BDD59C,‘If You Appear as a Pig’: Another Incantation Bowl (Moussaieff 164),Dan Levene,2007,Journal of Semitic Studies,"Levene, Dan. ‘If You Appear as a Pig: Another Incantation Bowl (Moussaieff 164).’ JSS 52 (2007): 59–70.",10.1093/jss/fgl037,article,partial,,Not yet classified,unclassified,0,0
SRC-B106D6356C1C,Dramatis Personae in the Jewish Magic Texts: Some Differences between Incantation Bowls and Geniza Magic,Shaked [and others; see citation],2006,JSQ,———. “Dramatis Personae in the Jewish Magic Texts: Some Differences between Incantation Bowls and Geniza Magic.” JSQ 13 (2006): 363– 87.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-A84A167A5779,‘Bring to the Gates … upon a Good Smell and upon Good Fragrances’: An Aramaic Incantation Bowl for Success in Business,Dan Levene; Siam Bhayro,2006,Archiv für Orientforschung,"Levene, Dan, and Siam Bhayro. ‘Bring to the Gates … upon a Good Smell and upon Good Fragrances.’ Archiv für Orientforschung 51 (2005/2006): 242–246.",,article,partial,,Not yet classified,unclassified,0,1
SRC-0E3CF64AADCA,"""Mandaic Incantation: lead rolls and magic bowls""",YAMAUCHI Edwin,2005,ARAM Periodical,"""Mandaic Incantation: lead rolls and magic bowls"" (2005). Crossref DOI 10.2143/aram.11.1.504467.",10.2143/aram.11.1.504467,article,unknown,,Not yet classified,unclassified,0,0
SRC-AA82BA0DE399,Additional Notes to the Aramaic Magic Bowl BM 135563,Matthew Morgenstern,2005,Aramaic Studies,Additional Notes to the Aramaic Magic Bowl BM 135563 (2005). Crossref DOI 10.1177/1477835105059093.,10.1177/1477835105059093,article,unknown,,Not yet classified,unclassified,0,0
SRC-63345F60155B,"Die Zauberschalentexte in der Hilprecht-Sammlung, Jena, und weitere Nippur-Texte anderer Sammlungen",Müller-Kessler [and others; see citation],2005,,"———. Die Zauberschalentexte in der Hilprecht-Sammlung, Jena, und weitere Nippur-Texte anderer Sammlungen . Texte und Materialien der Frau Professor Hilprecht Collection of Babylonian Antiquities im Eigentum der Universität Jena 7. Wiesbaden: Harrassowitz, 2005.",,book,unknown,,Not yet classified,unclassified,0,0
SRC-35775EE8D342,Form and Purpose in Aramaic Spells: Some Jewish Themes,Shaked [and others; see citation],2005,,"———. “Form and Purpose in Aramaic Spells: Some Jewish Themes.” In Officina Magica: Essays on the Practice of Magic in Antiquity , ed. Shaul Shaked, 1–30. IJS Studies in Judaica 4. Leiden: Brill, 2005.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-F58EBEF863E7,Peculiarità linguistiche in una coppa magica aramaic inedita,Moriggi [and others; see citation],2005,,"———. “Peculiarità linguistiche in una coppa magica aramaic inedita.” In Proceedings of the 10th Meeting of Hamito-Semitic (Afroasiatic) Linguistics (Florence, 18–20 April 2001) , ed. Pelio Fronzaroli and Paolo Marrassini, 257–66. Quaderni di semitistica 25. Florence: Università de Firenze, 2005.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-FD7C9081F047,Syriac Incantation Bowl from Iraqi Museum,A Faraj,2005,BOA (University of Milano-Bicocca),Syriac Incantation Bowl from Iraqi Museum (2005). OpenAlex W2915038643.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-E689BC4C3787,Syriac Incantation Bowl from Iraqi Museum,A Faraj,2005,BOA (University of Milano-Bicocca),Syriac Incantation Bowl from Iraqi Museum (2005). Repository location indexed by OpenAlex W2915038643.,,article,available,,Not yet classified,unclassified,0,0
SRC-3075F08B12BB,Two New Incantation Bowls from Rome (Italy),Moriggi [and others; see citation],2005,,———. “Two New Incantation Bowls from Rome (Italy).” AS 3 (2005): 43–58.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-69C22D670211,“Bring to the Gates… upon a good smell and upon good fragrances”: an Aramaic incantation bowl for success in business,D. Levene; Siam Bhayro,2005,ePrints Soton (University of Southampton),“Bring to the Gates… upon a good smell and upon good fragrances”: an Aramaic incantation bowl for success in business (2005). Repository location indexed by OpenAlex W27568255.,,article,available,,Not yet classified,unclassified,0,0
